Taxon	Data	Category
testatum_DNA4173_LIB0326	3	dsat50_reads
vulcanix_DNA4618_LIB0256	2	dsat50_reads
vulcanix_DNA4649_LIB0341	3	dsat50_reads
Bembidion_ampliatum_3544	12	esat90_reads
ampliatum_DNA3593_LIB0250	11	esat90_reads
ampliatum_DNA4245_LIB0249	6	esat90_reads
ampliatum_DNA4694_LIB0328	9	esat90_reads
ampliatum_DNA5017_LIB0247	3	esat90_reads
ampliatum_DNA5125_LIB0332	6	esat90_reads
ampliatum_DNA5130_LIB0344	4	esat90_reads
breve_DNA3799_LIB0251	8	esat90_reads
breve_DNA4187_LIB0327	8	esat90_reads
breve_DNA4194_LIB0253	8	esat90_reads
breve_DNA4697_LIB0329	9	esat90_reads
breve_DNA4919_LIB0209	6	esat90_reads
breve_DNA5011_LIB0330	7	esat90_reads
breve_DNA5012_LIB0252	6	esat90_reads
geopearlis_DNA4731_LIB0321	5	esat90_reads
geopearlis_DNA5088_LIB0322	4	esat90_reads
laxatum_DNA4149_LIB0248	3	esat90_reads
laxatum_DNA4918_LIB0208	2	esat90_reads
laxatum_DNA5086_LIB0331	1	esat90_reads
laxatum500microgram_DNA4153_LIB0309	2	esat90_reads
lividulum_DNA3486_LIB0323	10	esat90_reads
lividulum_DNA3797_LIB0325	12	esat90_reads
lividulum_DNA3804_LIB0317	10	esat90_reads
lividulum_DNA4165_LIB0245	14	esat90_reads
lividulum_DNA4699_LIB0246	10	esat90_reads
lividulum_DNA5013_LIB0244	7	esat90_reads
lividulum_DNA5019_LIB0342	9	esat90_reads
lividulum_DNA5032_LIB0243	10	esat90_reads
saturatum_DNA3313_LIB0254	17	esat90_reads
saturatum_DNA3467_LIB0204	15	esat90_reads
saturatum_DNA4167_LIB0320	19	esat90_reads
saturatum_DNA5129_LIB0343	17	esat90_reads
saturatumB_DNA3588_LIB0340	16	esat90_reads
saturatumB_DNA4247_LIB0255	22	esat90_reads
testatum_DNA3088_LIB0339	9	esat90_reads
testatum_DNA4157_LIB0319	8	esat90_reads
testatum_DNA4169_LIB0202	9	esat90_reads
testatum_DNA4173_LIB0326	8	esat90_reads
vulcanix_DNA4618_LIB0256	8	esat90_reads
vulcanix_DNA4649_LIB0341	9	esat90_reads
Bembidion_ampliatum_3544	47	ftotal_satDNAs
ampliatum_DNA3593_LIB0250	43	ftotal_satDNAs
ampliatum_DNA4245_LIB0249	37	ftotal_satDNAs
ampliatum_DNA4694_LIB0328	50	ftotal_satDNAs
ampliatum_DNA5017_LIB0247	29	ftotal_satDNAs
ampliatum_DNA5125_LIB0332	36	ftotal_satDNAs
ampliatum_DNA5130_LIB0344	26	ftotal_satDNAs
breve_DNA3799_LIB0251	26	ftotal_satDNAs
breve_DNA4187_LIB0327	30	ftotal_satDNAs
breve_DNA4194_LIB0253	29	ftotal_satDNAs
breve_DNA4697_LIB0329	37	ftotal_satDNAs
breve_DNA4919_LIB0209	32	ftotal_satDNAs
breve_DNA5011_LIB0330	33	ftotal_satDNAs
breve_DNA5012_LIB0252	34	ftotal_satDNAs
geopearlis_DNA4731_LIB0321	26	ftotal_satDNAs
geopearlis_DNA5088_LIB0322	21	ftotal_satDNAs
laxatum_DNA4149_LIB0248	22	ftotal_satDNAs
laxatum_DNA4918_LIB0208	22	ftotal_satDNAs
laxatum_DNA5086_LIB0331	15	ftotal_satDNAs
laxatum500microgram_DNA4153_LIB0309	21	ftotal_satDNAs
lividulum_DNA3486_LIB0323	45	ftotal_satDNAs
lividulum_DNA3797_LIB0325	37	ftotal_satDNAs
lividulum_DNA3804_LIB0317	32	ftotal_satDNAs
lividulum_DNA4165_LIB0245	43	ftotal_satDNAs
lividulum_DNA4699_LIB0246	31	ftotal_satDNAs
lividulum_DNA5013_LIB0244	30	ftotal_satDNAs
lividulum_DNA5019_LIB0342	32	ftotal_satDNAs
lividulum_DNA5032_LIB0243	32	ftotal_satDNAs
saturatum_DNA3313_LIB0254	46	ftotal_satDNAs
saturatum_DNA3467_LIB0204	46	ftotal_satDNAs
saturatum_DNA4167_LIB0320	50	ftotal_satDNAs
saturatum_DNA5129_LIB0343	42	ftotal_satDNAs
saturatumB_DNA3588_LIB0340	47	ftotal_satDNAs
saturatumB_DNA4247_LIB0255	43	ftotal_satDNAs
testatum_DNA3088_LIB0339	46	ftotal_satDNAs
testatum_DNA4157_LIB0319	35	ftotal_satDNAs
testatum_DNA4169_LIB0202	43	ftotal_satDNAs
testatum_DNA4173_LIB0326	39	ftotal_satDNAs
vulcanix_DNA4618_LIB0256	29	ftotal_satDNAs
vulcanix_DNA4649_LIB0341	44	ftotal_satDNAs
